Ticket,Nombre comun,Dia,Mes,Ano,,Evento,Ciudad,Vereda,Arboles,Hectareas
587,"NOGAL, PAYANDE, Guadua, Ceiba Amarilla, Leucaena",12,16,2020,,SEMBRATÓN,Yalí,San Mauricio,90,0.18
1326,"Cedro de Altura, Comino Crespo, Barcino, Pino Colombiano Romeron, Chachafruto, Aguacatillo, Nogal Cafetero",9,10,2021,,"Gran Sembratón Cada uno, un árbol",Támesis,San Antonio,282,0.564
2152,Chachafruto,10,28,2021,,SEMBRATON APOYO,Támesis,San Luis,3000,6
2151,Niguito,9,30,2021,,SEMBRATON APOYO,Támesis,San Luis,59166,118.332
2150,Chaparro,4,15,2021,,SEMBRATON APOYO,Támesis,San Luis,7000,14
787,"Guayacán Amarillo, orejero, Cedro, campano, cativo, Algarrobo",3,18,2021,,Obligación Contractual,Tarazá,Cabecera Municipal,67,0.134
1564,"orejero, Suribio, Abarco, Samán",8,26,2021,,Obligación Contractual,Tarazá,Cabecera Municipal,30,0.06
1559,"orejero, Abarco, Almendro, Samán",8,24,2021,,Obligación Contractual,Tarazá,La Caucana,40,0.08
1725,Guayacan Amarillo,2,25,2022,,Obligación Contractual,Tarso,Cabecera Municipal,44,0.088
1733,Quiebrabarrigo,2,4,2022,,Convites de restauracion,Tarso,La Linda,100,0.2
230,"Leucaena, Parasiempre",11,7,2020,,Cada uno un árbol,Tarso,Tacamocho,6,0.012
511,"laurel, Guayacan Amarillo, Arrayan de Hoja Pequeña, velero, Yarumo Negro, Guamo Churimo, Carbonero",11,7,2020,,Compensación ambiental con los jovenes de la plataforma Juvenil e integrantes de las disciplinas deportivas del Municipio,Titiribí,La Meseta,50,0.1
2155,Cedro altura,10,13,2021,,SEMBRATON APOYO,Titiribí,La Meseta,5000,10
1762,"Arrayan de Hoja Ancha, Cedro Negro, Chagualo",2,23,2022,,COMPENSACIÓN CANDELA,Titiribí,La Meseta,10,0.02
2153,Chirlobirlo,3,9,2021,,SEMBRATON APOYO,Titiribí,La Meseta,1000,2
1553,"Guayacan Rosado, Guayacan Amarillo, Chagualo",7,17,2021,,Obligación Contractual,Titiribí,La Meseta,7,0.014
742,Aguacatillo,3,5,2021,,siembra de arboles reserva forestal la candela,Titiribí,La Meseta,2000,4
1220,"Higuerillos, Palma Areca, Urapan, Carbonero, Chirlobirlo",9,23,2021,,COMPENSACIÓN,Titiribí,La Meseta,200,0.4
1302,"Quiebrabarrigo, Guayacan Amarillo, Cedro de Altura, Yarumo Negro, Nogal Cafetero",10,12,2021,,"Gran Sembratón Cada uno, un árbol",Titiribí,La Meseta,3000,6
2154,Cedro Negro,7,22,2021,,SEMBRATON APOYO,Titiribí,La Meseta,2000,4
1862,"Cedro, Caoba, Cámbulo, Carbonero, Nogal Cafetero",11,11,2021,,Obligación Contractual,Titiribí,Los Micos,40,0.08
2157,Aguacatillo,10,21,2021,,SEMBRATON APOYO,Toledo,La Florida,2580,5.16
2156,Quiebra barrigo,7,28,2021,,SEMBRATON APOYO,Toledo,La Florida,5000,10
788,"Guayacán Amarillo, orejero, Cedro, campano, cativo, Algarrobo",3,19,2021,,Obligación Contractual,Valdivia,Cabecera Municipal,67,0.134
1066,Cedro Rojo,6,7,2021,,cada uno un arbol,Valdivia,Chorros Blancos,100,0.2
2158,Roble,5,25,2021,,SEMBRATON APOYO,Valdivia,El Pital,500,1
